model,fpr,tpr,auc
LogisticRegression,0.021484992101105844,0.4197962154294032,0.9471490166049242
LogisticRegression,0.021800947867298578,0.4197962154294032,0.9471490166049242
LogisticRegression,0.021800947867298578,0.42241630276564773,0.9471490166049242
LogisticRegression,0.022116903633491312,0.42241630276564773,0.9471490166049242
LogisticRegression,0.022116903633491312,0.4259097525473071,0.9471490166049242
LogisticRegression,0.022432859399684046,0.4259097525473071,0.9471490166049242
LogisticRegression,0.022432859399684046,0.43551673944687047,0.9471490166049242
LogisticRegression,0.022748815165876776,0.43551673944687047,0.9471490166049242
LogisticRegression,0.022748815165876776,0.438136826783115,0.9471490166049242
LogisticRegression,0.02306477093206951,0.438136826783115,0.9471490166049242
LogisticRegression,0.02306477093206951,0.43901018922852986,0.9471490166049242
LogisticRegression,0.023380726698262244,0.43901018922852986,0.9471490166049242
LogisticRegression,0.023380726698262244,0.4407569141193595,0.9471490166049242
LogisticRegression,0.023696682464454975,0.4407569141193595,0.9471490166049242
LogisticRegression,0.023696682464454975,0.4576419213973799,0.9471490166049242
LogisticRegression,0.024328593996840443,0.4576419213973799,0.9471490166049242
LogisticRegression,0.024328593996840443,0.46026200873362444,0.9471490166049242
LogisticRegression,0.024644549763033177,0.46026200873362444,0.9471490166049242
LogisticRegression,0.024644549763033177,0.46754002911208153,0.9471490166049242
LogisticRegression,0.024960505529225907,0.46754002911208153,0.9471490166049242
LogisticRegression,0.024960505529225907,0.4727802037845706,0.9471490166049242
LogisticRegression,0.02527646129541864,0.4727802037845706,0.9471490166049242
LogisticRegression,0.02527646129541864,0.4739446870451237,0.9471490166049242
LogisticRegression,0.025592417061611375,0.4739446870451237,0.9471490166049242
LogisticRegression,0.025592417061611375,0.47569141193595343,0.9471490166049242
LogisticRegression,0.02590837282780411,0.47569141193595343,0.9471490166049242
LogisticRegression,0.02590837282780411,0.4759825327510917,0.9471490166049242
LogisticRegression,0.02622432859399684,0.4759825327510917,0.9471490166049242
LogisticRegression,0.02622432859399684,0.4774381368267831,0.9471490166049242
LogisticRegression,0.026856240126382307,0.4774381368267831,0.9471490166049242
LogisticRegression,0.026856240126382307,0.4815138282387191,0.9471490166049242
LogisticRegression,0.027172195892575038,0.4815138282387191,0.9471490166049242
LogisticRegression,0.027172195892575038,0.4887918486171761,0.9471490166049242
LogisticRegression,0.027488151658767772,0.4887918486171761,0.9471490166049242
LogisticRegression,0.027488151658767772,0.4960698689956332,0.9471490166049242
LogisticRegression,0.027804107424960506,0.4960698689956332,0.9471490166049242
LogisticRegression,0.027804107424960506,0.5007278020378457,0.9471490166049242
LogisticRegression,0.02843601895734597,0.5007278020378457,0.9471490166049242
LogisticRegression,0.02843601895734597,0.5065502183406113,0.9471490166049242
LogisticRegression,0.028751974723538704,0.5065502183406113,0.9471490166049242
LogisticRegression,0.028751974723538704,0.5109170305676856,0.9471490166049242
LogisticRegression,0.029067930489731438,0.5109170305676856,0.9471490166049242
LogisticRegression,0.029067930489731438,0.5222707423580786,0.9471490166049242
LogisticRegression,0.029383886255924172,0.5222707423580786,0.9471490166049242
LogisticRegression,0.029383886255924172,0.5225618631732168,0.9471490166049242
LogisticRegression,0.029699842022116903,0.5225618631732168,0.9471490166049242
